,Product Title,Price,Image,Product URL,Site
0,realme 33W Smart Flash Power Adapter,Tk 1099,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20221028_1666927565_989877.jpeg,https://gadgetandgear.com/product/realme-33w-smart-flash-power-adapter,GadgetandGear
1,Anker PowerPort III 20W PD,Tk 1999,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20230109_1673249610_214261.jpeg,https://gadgetandgear.com/product/anker-powerport-iii-20w-pd,GadgetandGear
2,Anker Soundcore R500 In-Ear Wireless Earphone,Tk 2449,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220427_1651034940_776717.png,https://gadgetandgear.com/product/anker-soundcore-r500-inear-wireless-earphone,GadgetandGear
3,Anker 711 Charger (Nano II 30W),Tk 2699,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220729_1659085845_741930.jpeg,https://gadgetandgear.com/product/anker-711-charger-nano-ii-30w,GadgetandGear
4,Apple USB Power Adapter 12W (3Pin),Tk 3199,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220819_1660884258_978116.jpeg,https://gadgetandgear.com/product/apple-usb-power-adapter-12w-3pin,GadgetandGear
5,Apple USB Power Adapter 5w(3pin),Tk 3199,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20200702_1593666978_162816.jpeg,https://gadgetandgear.com/product/apple-usb-power-adapter-5w3pin,GadgetandGear
6,Apple 20W USB-C Power Adapter,Tk 3199,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20201224_1608795249_575989.jpeg,https://gadgetandgear.com/product/apple-20w-usbc-power-adapter,GadgetandGear
7,Anker Soundcore R100 True Wireless Earbuds,Tk 3399,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220427_1651040160_437264.png,https://gadgetandgear.com/product/anker-soundcore-r100-true-wireless-earbuds,GadgetandGear
8,Anker Power Core Select 10000 mAh,Tk 3499,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220426_1650964198_936589.png,https://gadgetandgear.com/product/anker-power-core-select-10000-mah,GadgetandGear
9,Anker PowerCore 10000 Redux,Tk 4599,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20230223_1677135354_463934.jpeg,https://gadgetandgear.com/product/anker-powercore-10000-redux,GadgetandGear
10,Nokia Power Earbuds Lite,Tk 4690,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220226_1645856849_991708.png,https://gadgetandgear.com/product/nokia-power-earbuds-lite,GadgetandGear
11,Anker Life Note 3 NC TWS,Tk 4690,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20230223_1677136767_119061.jpeg,https://gadgetandgear.com/product/anker-life-note-3-nc-tws,GadgetandGear
12,Anker PowerCore Select 20000mAh Powerbank,Tk 5199,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220722_1658461351_302253.jpeg,https://gadgetandgear.com/product/anker-powercore-select-20000mah-powerbank,GadgetandGear
13,Anker Soundcore Q10i Wireless Headphone,Tk 5699,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220729_1659069193_652828.jpeg,https://gadgetandgear.com/product/anker-soundcore-q10i-wireless-headphone,GadgetandGear
14,Anker Soundcore Life Dot 2,Tk 6199,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220729_1659070394_686063.jpeg,https://gadgetandgear.com/product/anker-soundcore-life-dot-2,GadgetandGear
15,Apple USB-C 30W Power Adapter,Tk 6999,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20190119_1547900818_888970.jpeg,https://gadgetandgear.com/product/apple-30w-usbc-power-adapter,GadgetandGear
16,Anker Soundcore Life Note 3S True Wireless Earbuds,Tk 7199,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220729_1659085225_310994.jpeg,https://gadgetandgear.com/product/anker-soundcore-life-note-3s-true-wireless-earbuds,GadgetandGear
17,Apple 35W Dual USB-C Power Adapter,Tk 8499,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220819_1660884942_242949.jpeg,https://gadgetandgear.com/product/apple-35w-dual-usbc-power-adapter,GadgetandGear
18,Anker Soundcore Flare 2 Bluetooth Speaker,Tk 9999,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20220427_1651033769_546886.png,https://gadgetandgear.com/product/anker-soundcore-flare-2-bluetooth-speaker,GadgetandGear
19,Apple 67W USB-C Power Adapter,Tk 9999,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20211124_1637755801_243814.png,https://gadgetandgear.com/product/apple-67w-usbc-power-adapter,GadgetandGear
20,Apple USB-C 96W Power Adapter,Tk 12499,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20200508_1588931839_247504.jpeg,https://gadgetandgear.com/product/apple-usbc-96w-power-adapter,GadgetandGear
21,Apple MagSafe 2 power Adapter-45w,Tk 12999,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20180521_1526890898_134865.jpeg,https://gadgetandgear.com/product/apple-magsafe-2-power-adapter45w,GadgetandGear
22,Apple 140W USB-C Power Adapter,Tk 13999,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20221023_1666500008_763528.jpeg,https://gadgetandgear.com/product/apple-140w-usb-c-power-adapter,GadgetandGear
23,DJI Action 2 Power Combo,Tk 34999,https://static.gadgetandgear.com/image/250x250/fit/tmp/product/20211202_1638427368_854843.png,https://gadgetandgear.com/product/dji-action-2-power-combo,GadgetandGear
